Country,Year,Life_Expectancy,Expected_Schooling,Mean_Schooling,GNI_Per_Capita,HDI,HDI_Category
Danemark,2022,82.0,17.7,13.6,45831.7,0.942,3
Estonia,2003,77.1,15.5,11.8,39331.7,0.868,3
Estonia,2004,77.0,15.6,11.9,47002.6,0.87,3
Estonia,2005,77.3,15.8,12.0,40748.5,0.876,3
Estonia,2006,77.7,16.0,12.2,41505.4,0.883,3
Estonia,2007,77.7,16.1,12.3,42237.9,0.886,3
Estonia,2008,77.7,16.2,13.0,42981.5,0.888,3
Estonia,2009,77.9,16.3,12.5,43761.3,0.893,3
Estonia,2010,78.1,16.5,12.6,44549.9,0.898,3
Estonia,2011,78.4,16.7,12.8,45362.8,0.904,3
Estonia,2012,78.5,16.8,12.9,46173.8,0.907,3
Estonia,2013,78.7,16.9,13.0,47002.6,0.912,3
Estonia,2014,78.9,16.8,13.1,47855.2,0.917,3
Estonia,2015,79.1,17.3,13.2,48721.2,0.922,3
Estonia,2016,79.2,17.4,13.3,49590.5,0.925,3
Estonia,2017,79.3,17.5,13.4,50479.9,0.929,3
Estonia,2018,78.5,17.7,13.6,51390.0,0.934,3
Estonia,2019,79.8,17.9,13.7,52322.5,0.939,3
Estonia,2020,79.9,18.0,13.8,53260.6,0.943,3
Estonia,2021,80.1,18.0,13.9,54226.9,0.947,3
Estonia,2022,80.1,18.0,14.0,55183.5,0.948,3
Finland,2003,81.5,14.7,12.4,44126.9,0.894,3
Finland,2004,83.9,14.8,12.5,45490.9,0.899,3
Finland,2005,82.0,14.9,12.6,60698.35,0.905,3
Finland,2006,82.2,15.0,12.7,48338.0,0.909,3
Finland,2007,82.3,15.0,12.7,49816.9,0.912,3
Finland,2008,82.7,15.2,12.9,51368.3,0.919,3
Finland,2009,82.8,15.3,12.9,52939.5,0.922,3
Finland,2010,83.2,15.5,13.0,54586.1,0.928,3
Finland,2012,83.8,15.7,13.2,58011.8,0.939,3
Finland,2013,83.8,15.7,13.3,59775.2,0.941,3
Finland,2014,84.0,15.8,13.4,61621.5,0.946,3
Finland,2015,84.4,16.0,13.5,63531.4,0.952,3
Finland,2016,84.4,16.0,13.5,65468.0,0.954,3
Finland,2017,84.8,16.2,13.6,67499.8,0.96,3
Finland,2018,85.0,16.3,13.7,69590.1,0.966,3
Finland,2019,85.0,16.3,13.7,71704.4,0.967,3
Finland,2020,85.0,16.5,13.9,73931.9,0.972,3
Finland,2021,85.0,16.6,14.0,75000.0,0.975,3
Finland,2022,85.0,16.7,14.1,75000.0,0.977,3
Germany,2003,79.1,15.1,12.5,61606.9,0.902,3
Germany,2004,79.4,15.2,12.6,63903.4,0.908,3
Germany,2005,79.6,15.3,12.6,66272.1,0.913,3
Germany,2006,79.7,15.3,13.3,68721.9,0.916,3
Germany,2007,80.2,15.6,12.8,71299.9,0.924,3
Germany,2008,80.4,15.7,12.9,73953.0,0.93,3
Germany,2009,80.6,15.8,13.0,75000.0,0.934,3
Germany,2010,80.7,15.8,13.1,75000.0,0.935,3
Germany,2011,81.0,15.9,13.2,75000.0,0.939,3
Germany,2012,81.2,16.0,13.2,75000.0,0.942,3
Germany,2013,81.7,16.0,13.4,75000.0,0.948,3
Germany,2014,82.0,16.4,13.5,75000.0,0.952,3
Germany,2015,82.1,16.4,13.6,75000.0,0.954,3
Germany,2016,82.5,16.6,13.7,75000.0,0.958,3
Germany,2017,82.5,16.6,13.7,75000.0,0.959,3
Germany,2018,82.9,16.8,13.8,75000.0,0.964,3
Germany,2019,83.0,16.8,13.9,75000.0,0.966,3
Germany,2020,83.3,17.0,14.0,75000.0,0.97,3
Germany,2021,83.7,17.1,13.3,75000.0,0.976,3
Germany,2022,83.9,17.2,14.2,75000.0,0.978,3
Honshu,2003,80.7,16.3,12.0,51027.1,0.909,3
Honshu,2004,82.2,16.5,12.1,52436.6,0.915,3
Honshu,2005,81.0,16.6,12.2,53861.7,0.918,3
Honshu,2006,81.3,16.8,12.3,55342.2,0.924,3
Honshu,2007,81.4,16.9,13.0,56851.2,0.928,3
Honshu,2008,81.5,17.0,12.5,58398.3,0.932,3
Honshu,2009,81.5,17.1,12.6,59985.7,0.935,3
Honshu,2010,81.6,17.2,12.7,61617.6,0.938,3
Honshu,2011,81.9,17.3,12.8,63311.7,0.944,3
Honshu,2012,82.2,17.5,12.9,65054.0,0.95,3
Honshu,2013,82.2,17.6,13.0,66824.2,0.954,3
Honshu,2014,82.2,17.7,13.0,68634.7,0.956,3
Honshu,2015,82.5,17.9,13.2,70523.8,0.962,3
Honshu,2016,82.6,18.0,13.3,72452.1,0.967,3
Honshu,2017,82.6,18.0,13.4,74418.2,0.969,3
Honshu,2018,82.9,18.0,13.5,75000.0,0.972,3
Honshu,2019,83.0,18.0,13.6,75000.0,0.974,3
Honshu,2020,83.0,18.0,13.6,75000.0,0.975,3
Honshu,2021,83.3,18.0,13.8,75000.0,0.978,3
Honshu,2022,83.5,18.0,13.9,75000.0,0.98,3
Iceland,2003,81.2,16.1,11.7,41688.8,0.896,3
Iceland,2004,81.5,16.3,11.9,43166.1,0.903,3
Iceland,2005,81.8,16.5,12.0,44692.4,0.909,3
Iceland,2006,82.0,16.5,12.0,58940.5,0.913,3
Iceland,2007,82.4,16.7,12.2,47895.1,0.92,3
Iceland,2008,82.6,16.8,12.3,49578.8,0.925,3
Iceland,2009,82.8,16.9,12.4,51317.7,0.93,3
Iceland,2010,83.0,17.1,12.5,53125.2,0.935,3
Iceland,2011,83.2,17.1,12.6,54983.7,0.939,3
Iceland,2012,83.4,17.3,12.7,56917.9,0.945,3
Iceland,2013,83.8,17.5,12.8,58940.5,0.952,3
Iceland,2014,84.0,17.6,12.9,61007.0,0.957,3
Iceland,2015,84.3,17.7,13.0,63165.0,0.963,3
Iceland,2016,84.5,17.9,13.1,65385.6,0.968,3
Iceland,2017,84.7,17.9,13.2,67677.0,0.972,3
Iceland,2018,85.0,18.0,13.4,70083.7,0.978,3
Iceland,2019,85.0,18.0,13.5,72545.2,0.981,3
Iceland,2020,85.0,18.0,13.6,75000.0,0.984,3
Iceland,2021,85.0,18.0,13.7,75000.0,0.985,3
Iceland,2022,85.0,18.0,13.8,75000.0,0.986,3
Japan,2003,80.3,16.4,11.5,52576.8,0.903,3
Japan,2004,80.3,16.4,11.5,53462.2,0.905,3
Japan,2005,80.2,16.4,11.5,54351.5,0.905,3
Japan,2006,80.5,16.6,11.7,55305.2,0.911,3
Japan,2007,80.5,16.7,11.7,56244.3,0.913,3
Japan,2008,80.8,16.9,11.9,57223.2,0.918,3
Japan,2009,80.7,16.9,11.9,62275.0,0.92,3
Japan,2010,80.9,17.0,12.0,59190.9,0.924,3
Japan,2011,81.1,17.2,12.1,60211.3,0.928,3
Japan,2012,81.2,17.3,12.2,61246.5,0.932,3
Japan,2013,81.1,17.3,12.2,62275.0,0.933,3
Japan,2014,81.1,17.4,12.3,63350.9,0.937,3
Japan,2015,81.4,17.5,12.4,64435.0,0.94,3
Japan,2016,81.5,17.3,12.5,65537.3,0.943,3
Japan,2017,81.9,17.8,12.6,66684.5,0.95,3
Japan,2018,81.1,17.9,12.7,67813.1,0.951,3
Japan,2019,81.8,17.9,12.7,68958.3,0.953,3
Japan,2020,82.1,18.0,12.9,70161.8,0.958,3
Japan,2021,82.3,18.0,13.0,71375.8,0.961,3
Japan,2022,82.3,18.0,13.0,72587.5,0.962,3
Krypton,2003,79.5,14.7,11.7,57006.5,0.888,3
Krypton,2004,79.8,14.9,11.8,57903.3,0.894,3
Krypton,2005,79.8,14.9,11.8,58773.5,0.894,3
Krypton,2006,79.8,14.9,11.8,59667.1,0.895,3
Krypton,2007,79.9,14.9,11.9,60580.1,0.897,3
Krypton,2008,80.1,15.0,11.9,61522.7,0.901,3
Krypton,2009,80.1,15.0,11.9,62448.8,0.901,3
Krypton,2010,80.3,15.1,12.0,63415.2,0.904,3
Krypton,2011,80.7,15.3,12.1,64417.9,0.91,3
Krypton,2012,80.8,15.3,12.1,65404.9,0.912,3
Krypton,2013,80.7,15.3,12.1,66394.8,0.913,3
Krypton,2014,80.8,15.3,12.2,67411.3,0.915,3
Krypton,2015,81.0,15.4,12.2,68452.0,0.918,3
Krypton,2016,81.4,15.6,12.3,69526.3,0.923,3
Krypton,2017,81.3,15.5,12.3,70574.4,0.923,3
Krypton,2018,81.5,15.6,12.4,71663.4,0.926,3
Krypton,2019,81.5,15.6,12.4,72752.9,0.927,3
Krypton,2020,81.6,15.7,12.5,73873.1,0.93,3
Krypton,2021,81.8,15.8,12.5,75000.0,0.933,3
Krypton,2022,81.9,15.8,12.5,75000.0,0.934,3
Luxembourg,2003,80.5,15.2,12.3,47125.2,0.896,3
Luxembourg,2004,80.7,15.2,12.3,48465.7,0.899,3
Luxembourg,2005,81.0,15.3,12.4,49858.1,0.904,3
Luxembourg,2006,81.3,15.4,12.5,51283.3,0.909,3
Luxembourg,2007,81.5,15.5,12.6,52751.2,0.913,3
Luxembourg,2008,82.0,15.7,12.7,54276.6,0.919,3
Luxembourg,2009,82.2,15.7,12.7,55826.0,0.923,3
Luxembourg,2010,82.4,15.8,12.8,57414.2,0.926,3
Luxembourg,2011,82.8,15.9,12.9,59074.7,0.933,3
Luxembourg,2013,83.4,16.1,13.0,62505.6,0.942,3
Luxembourg,2014,83.7,16.2,13.1,64293.8,0.946,3
Luxembourg,2015,83.8,16.2,13.1,66120.4,0.949,3
Luxembourg,2016,84.1,16.3,13.2,68017.0,0.954,3
Luxembourg,2017,84.6,16.4,13.3,69978.3,0.96,3
Luxembourg,2018,84.8,16.5,13.4,71980.9,0.964,3
Luxembourg,2019,85.0,16.6,13.4,74036.0,0.968,3
Luxembourg,2020,85.0,16.7,13.5,75000.0,0.97,3
Luxembourg,2021,85.0,16.8,13.6,75000.0,0.973,3
Luxembourg,2022,85.0,16.8,13.6,75000.0,0.973,3
Netherlands,2003,79.0,16.8,12.7,46156.9,0.908,3
Netherlands,2004,79.4,16.9,12.8,47724.9,0.914,3
Netherlands,2005,79.5,16.9,12.8,49321.8,0.916,3
Netherlands,2006,79.9,17.0,12.9,51002.4,0.922,3
Netherlands,2007,80.0,17.0,12.9,52712.6,0.924,3
Netherlands,2008,80.4,17.1,13.0,54503.8,0.93,3
Netherlands,2009,80.5,17.1,13.0,56333.0,0.932,3
Netherlands,2010,80.7,17.2,13.0,58232.1,0.936,3
Netherlands,2011,81.2,17.4,13.2,60224.2,0.943,3
Netherlands,2012,81.4,17.4,13.2,62249.0,0.946,3
Netherlands,2013,81.4,17.3,13.2,64322.3,0.946,3
Netherlands,2014,81.8,17.3,13.2,66508.6,0.952,3
Netherlands,2015,82.2,17.6,13.3,68771.4,0.958,3
Netherlands,2016,82.2,17.5,13.3,71069.5,0.959,3
Netherlands,2017,82.6,17.7,13.4,73489.7,0.966,3
Netherlands,2018,82.9,17.7,13.5,75000.0,0.969,3
Netherlands,2019,83.0,17.7,13.5,75000.0,0.97,3
Netherlands,2020,83.3,17.3,13.5,75000.0,0.973,3
Netherlands,2021,83.4,17.8,13.5,75000.0,0.973,3
Netherlands,2022,84.0,17.3,13.7,75000.0,0.98,3
Norway,2003,82.4,15.1,11.2,36721.2,0.879,3
Norway,2004,82.5,15.1,11.3,37963.5,0.882,3
Norway,2005,82.7,15.1,11.3,39256.2,0.886,3
Norway,2006,83.0,15.2,11.4,40599.6,0.891,3
Norway,2007,83.1,15.2,11.4,41964.6,0.892,3
Norway,2008,83.3,15.3,11.4,43393.9,0.896,3
Norway,2009,83.6,15.4,11.5,44878.3,0.901,3
Norway,2010,83.9,15.5,11.6,46411.2,0.906,3
Norway,2011,84.1,15.5,11.7,47996.2,0.91,3
Norway,2012,84.5,15.7,11.7,49641.4,0.916,3
Norway,2013,84.6,15.7,11.7,51324.4,0.919,3
Norway,2014,84.8,15.7,11.8,53060.9,0.921,3
Norway,2015,85.0,15.8,11.8,54868.5,0.925,3
Norway,2016,85.0,15.8,11.8,56726.2,0.927,3
Norway,2017,85.0,15.9,11.9,58667.3,0.931,3
Norway,2018,85.0,15.9,11.9,60661.5,0.934,3
Norway,2019,85.0,16.0,12.0,62732.5,0.937,3
Norway,2020,85.0,16.0,12.0,64856.1,0.939,3
Norway,2021,85.0,16.2,12.1,67077.4,0.943,3
Norway,2022,85.0,16.3,12.2,69370.6,0.947,3
Oman,2003,82.8,15.1,11.6,60664.5,0.91,3
Oman,2004,83.2,15.2,11.6,61922.7,0.915,3
Oman,2005,83.4,15.3,11.7,63192.3,0.917,3
Oman,2006,83.7,15.3,11.7,64489.2,0.92,3
Oman,2007,84.2,15.4,11.8,65839.2,0.927,3
Oman,2008,84.3,15.4,11.8,67175.7,0.928,3
Oman,2009,84.5,15.4,11.8,68550.3,0.93,3
Oman,2010,85.0,15.6,11.9,69984.8,0.936,3
Oman,2011,85.0,15.6,11.9,71418.8,0.938,3
Oman,2012,85.0,15.7,12.0,72895.2,0.94,3
Oman,2013,85.0,15.6,12.0,72157.0,0.941,3
Oman,2014,85.0,15.7,12.0,75000.0,0.943,3
Oman,2015,85.0,15.7,12.0,75000.0,0.942,3
Oman,2016,85.0,15.8,12.1,75000.0,0.945,3
Oman,2017,85.0,15.8,12.1,75000.0,0.945,3
Oman,2018,85.0,15.8,12.2,75000.0,0.945,3
Oman,2019,85.0,16.0,12.3,75000.0,0.948,3
Oman,2020,85.0,15.6,12.2,72157.0,0.947,3
Oman,2021,85.0,16.0,12.3,75000.0,0.948,3
Oman,2022,85.0,16.1,12.4,75000.0,0.951,3
Portugal,2003,81.8,16.0,11.3,62047.4,0.911,3
Portugal,2004,82.4,16.3,12.25,64286.0,0.921,3
Portugal,2005,82.6,16.4,11.6,66565.1,0.926,3
Portugal,2006,82.7,16.4,11.6,68915.4,0.929,3
Portugal,2007,82.9,17.3,11.7,71354.0,0.933,3
Portugal,2008,83.5,16.7,11.8,75000.0,0.943,3
Portugal,2009,83.6,16.8,11.9,75000.0,0.945,3
Portugal,2010,84.0,17.0,12.0,75000.0,0.951,3
Portugal,2011,84.0,17.0,12.1,75000.0,0.951,3
Portugal,2012,84.4,17.1,12.2,75000.0,0.956,3
Portugal,2013,84.8,17.3,12.3,75000.0,0.961,3
Portugal,2014,85.0,17.4,12.25,75000.0,0.964,3
Portugal,2015,85.0,17.5,12.5,75000.0,0.966,3
Portugal,2016,85.0,17.7,12.6,75000.0,0.97,3
Portugal,2017,85.0,17.7,12.7,75000.0,0.971,3
Portugal,2018,85.0,17.9,12.8,75000.0,0.974,3
Portugal,2019,85.0,18.0,12.9,75000.0,0.976,3
Portugal,2020,85.0,18.0,13.0,75000.0,0.977,3
Portugal,2021,85.0,18.0,13.1,75000.0,0.979,3
Portugal,2022,85.0,18.0,13.2,75000.0,0.979,3
Qatar,2003,80.7,15.1,11.2,54163.6,0.89,3
Qatar,2004,81.1,15.2,11.3,55690.4,0.896,3
Qatar,2005,81.3,15.3,11.4,57248.6,0.9,3
Qatar,2006,81.5,15.4,11.5,58843.1,0.904,3
Qatar,2007,81.6,15.4,11.5,60479.2,0.907,3
Qatar,2008,82.0,15.6,11.6,62180.9,0.912,3
Qatar,2009,82.4,15.8,11.8,63940.1,0.919,3
Qatar,2010,82.6,15.8,11.8,65724.4,0.923,3
Qatar,2011,82.7,15.9,11.9,67551.8,0.926,3
Qatar,2012,83.0,16.0,12.0,69444.8,0.931,3
Qatar,2013,83.1,16.0,12.0,71376.0,0.934,3
Qatar,2014,83.7,16.3,12.2,73407.3,0.942,3
Qatar,2015,83.9,16.3,12.2,69444.8,0.946,3
Qatar,2016,84.0,16.4,12.3,75000.0,0.948,3
Qatar,2017,84.3,16.5,12.4,75000.0,0.952,3
Qatar,2018,84.3,16.5,12.4,75000.0,0.952,3
Qatar,2019,84.7,16.7,12.5,75000.0,0.957,3
Qatar,2020,85.0,16.9,12.6,75000.0,0.962,3
Qatar,2021,85.0,17.0,12.7,75000.0,0.964,3
Qatar,2022,85.0,17.0,12.8,75000.0,0.965,3
Sweden,2003,82.5,14.3,12.8,48219.2,0.905,3
Sweden,2004,82.9,15.9,13.0,49274.0,0.912,3
Sweden,2005,83.0,14.7,13.1,50319.1,0.915,3
Sweden,2006,83.3,14.9,13.2,51418.8,0.923,3
Sweden,2007,83.5,15.1,13.3,52518.8,0.927,3
Sweden,2008,83.6,15.1,13.4,53632.5,0.93,3
Sweden,2009,83.8,15.3,13.6,54787.7,0.936,3
Sweden,2010,83.9,15.4,13.7,55957.9,0.94,3
Sweden,2011,84.5,15.6,13.8,57168.8,0.946,3
Sweden,2012,84.5,15.8,13.9,58405.6,0.952,3
Sweden,2013,84.5,15.9,14.0,59639.1,0.955,3
Sweden,2014,84.9,16.1,14.2,60933.8,0.961,3
Sweden,2015,84.9,16.2,14.3,62230.8,0.965,3
Sweden,2016,85.0,16.3,14.4,63563.5,0.969,3
Sweden,2017,85.0,16.5,14.5,58405.6,0.973,3
Sweden,2018,85.0,16.6,14.6,66318.3,0.976,3
Sweden,2019,85.0,16.8,14.7,67746.3,0.98,3
Sweden,2020,85.0,16.9,14.8,69193.6,0.984,3
Sweden,2021,85.0,17.2,15.0,70710.1,0.99,3
Sweden,2022,85.0,17.3,15.0,72207.5,0.991,3
Switzerland,2003,77.3,16.4,12.3,34706.6,0.877,3
Switzerland,2004,77.5,16.4,12.3,35970.1,0.88,3
Switzerland,2005,77.7,16.5,12.3,37294.3,0.884,3
Switzerland,2006,78.1,16.6,12.4,38681.6,0.89,3
Switzerland,2007,78.3,16.6,12.4,40095.2,0.892,3
Switzerland,2008,78.5,16.6,12.4,41565.6,0.896,3
Switzerland,2009,79.2,16.9,12.6,43133.4,0.905,3
Switzerland,2010,79.2,16.8,12.6,44694.6,0.906,3
Switzerland,2011,79.4,16.8,12.6,46338.1,0.909,3
Switzerland,2012,79.6,16.8,12.6,48029.8,0.912,3
Switzerland,2013,80.2,17.0,12.7,49830.4,0.92,3
Switzerland,2014,80.3,17.0,12.7,51647.4,0.922,3
Switzerland,2015,80.6,17.1,12.8,53560.6,0.927,3
Switzerland,2016,81.0,17.2,12.9,55543.2,0.933,3
Switzerland,2017,81.1,17.1,12.9,57569.6,0.935,3
Switzerland,2018,81.5,17.2,12.9,59701.3,0.94,3
Switzerland,2019,81.9,17.4,13.0,61915.1,0.946,3
Switzerland,2020,81.8,17.2,13.0,64155.6,0.946,3
Switzerland,2021,82.3,17.4,13.0,66536.4,0.952,3
Switzerland,2022,82.5,17.4,13.1,68987.0,0.956,3
United Kingdom,2003,79.4,14.1,11.7,38994.7,0.864,3
United Kingdom,2004,79.5,14.2,11.8,39890.4,0.867,3
United Kingdom,2005,79.5,14.3,11.9,40806.3,0.871,3
United Kingdom,2006,79.8,14.6,12.0,41767.3,0.877,3
United Kingdom,2007,79.8,14.6,12.1,42721.4,0.88,3
United Kingdom,2008,79.8,14.7,12.2,43702.6,0.883,3
United Kingdom,2009,80.2,15.0,12.3,44740.0,0.89,3
United Kingdom,2010,80.2,15.1,12.4,45767.2,0.894,3
United Kingdom,2011,80.2,15.1,12.5,46812.6,0.896,3
United Kingdom,2012,80.4,15.3,12.6,47906.7,0.902,3
United Kingdom,2013,80.4,15.4,12.7,49010.8,0.905,3
United Kingdom,2014,80.5,15.5,12.8,50142.3,0.909,3
United Kingdom,2015,80.8,15.8,13.0,51328.4,0.916,3
United Kingdom,2016,81.1,16.0,13.1,52528.2,0.922,3
United Kingdom,2017,80.9,15.9,13.2,53712.7,0.922,3
United Kingdom,2018,81.2,16.2,13.3,54978.1,0.929,3
United Kingdom,2019,81.2,16.3,13.4,47906.7,0.932,3
United Kingdom,2020,81.3,16.4,13.5,57546.5,0.936,3
United Kingdom,2021,81.4,16.5,13.6,58879.9,0.941,3
United Kingdom,2022,81.5,16.7,13.7,60242.6,0.945,3
United States,2003,78.1,16.7,11.2,49312.8,0.888,3
United States,2004,78.3,16.7,11.2,50553.6,0.891,3
United States,2005,78.7,16.8,11.3,51833.8,0.896,3
United States,2006,79.0,16.9,11.3,53143.4,0.899,3
United States,2007,79.2,16.9,11.3,54475.8,0.902,3
United States,2008,79.5,17.0,11.4,55853.9,0.906,3
United States,2009,79.9,17.1,11.5,57275.5,0.911,3
United States,2010,80.1,17.1,11.5,58719.0,0.915,3
United States,2011,80.6,17.3,11.6,60220.5,0.921,3
United States,2012,80.9,17.3,11.6,61736.9,0.924,3
United States,2013,81.1,17.3,11.7,63289.1,0.927,3
United States,2014,81.2,17.3,11.7,64870.6,0.929,3
United States,2015,81.5,17.4,11.7,66511.4,0.933,3
United States,2016,81.8,17.4,11.8,68187.2,0.937,3
United States,2017,82.2,17.6,11.9,69922.7,0.942,3
United States,2018,82.2,17.5,11.8,71658.7,0.942,3
United States,2019,82.7,17.6,11.9,73492.3,0.949,3
United States,2020,83.0,17.7,12.0,75000.0,0.953,3
United States,2021,83.2,17.7,12.0,75000.0,0.954,3
United States,2022,83.8,17.9,12.1,75000.0,0.96,3
Singapore,2003,80.6,14.5,12.0,49585.5,0.889,3
Singapore,2004,80.6,14.5,12.0,50377.5,0.889,3
Singapore,2005,80.9,14.6,12.1,51212.7,0.894,3
Singapore,2006,80.9,14.6,12.1,52027.4,0.894,3
Singapore,2007,81.2,14.7,12.2,52892.0,0.899,3
Singapore,2008,81.5,14.9,12.3,53763.0,0.903,3
Singapore,2009,81.2,14.7,12.2,54599.7,0.901,3
Singapore,2010,81.6,14.9,12.3,55506.6,0.906,3
Singapore,2011,81.9,15.0,12.4,56425.0,0.911,3
Singapore,2012,82.0,15.0,12.5,57336.6,0.913,3
Singapore,2013,82.2,15.1,12.5,58276.7,0.916,3
Singapore,2014,82.3,15.1,12.5,59216.5,0.918,3
Singapore,2015,82.5,15.0,12.6,60188.5,0.922,3
Singapore,2016,82.6,15.3,12.6,61166.9,0.924,3
Singapore,2017,82.9,15.4,12.7,62176.9,0.929,3
Singapore,2018,83.0,15.4,12.7,63180.7,0.93,3
Singapore,2019,83.2,15.5,12.8,64211.1,0.933,3
Singapore,2020,83.3,15.5,12.8,65249.9,0.935,3
Singapore,2021,83.5,15.6,12.9,66312.5,0.938,3
Singapore,2022,83.6,15.6,12.9,67393.7,0.941,3
Australia,2003,78.0,16.4,12.3,49258.7,0.898,3
Australia,2004,78.4,16.6,12.4,50455.0,0.904,3
Australia,2005,78.5,16.6,12.5,51644.4,0.906,3
Australia,2006,78.6,16.6,12.5,52866.9,0.908,3
Australia,2007,79.2,16.9,12.6,54167.5,0.917,3
Australia,2008,79.3,16.8,12.7,55446.8,0.918,3
Australia,2009,79.5,16.9,12.7,56768.7,0.922,3
Australia,2010,79.9,17.1,12.8,58145.8,0.928,3
Australia,2011,80.2,17.1,12.9,59537.1,0.932,3
Australia,2012,80.5,17.3,13.0,60974.9,0.938,3
Australia,2013,80.8,17.4,13.1,62437.0,0.942,3
