Country,Year,Life_Expectancy,Expected_Schooling,Mean_Schooling,GNI_Per_Capita,HDI
Honshu,2012,,17.5,12.9,65054.0,0.95
Honshu,2013,82.2,17.6,13.0,66824.2,0.954
Honshu,2014,82.2,17.7,13.0,68634.7,0.956
Honshu,2015,82.5,17.9,13.2,70523.8,0.962
Honshu,2016,82.6,18.0,13.3,72452.1,0.967
Honshu,2017,82.6,18.0,13.4,74418.2,0.969
Honshu,2018,82.9,18.0,13.5,75000.0,0.972
Honshu,2019,83.0,18.0,13.6,75000.0,0.974
Honshu,2020,83.0,18.0,13.6,75000.0,0.975
Honshu,2021,83.3,18.0,13.8,75000.0,0.978
Honshu,2022,83.5,18.0,13.9,75000.0,0.98
Iceland,2003,81.2,16.1,11.7,41688.8,0.896
Iceland,2004,81.5,16.3,11.9,43166.1,0.903
Iceland,2005,81.8,16.5,12.0,44692.4,0.909
Iceland,2006,82.0,16.5,12.0,,0.913
Iceland,2007,82.4,16.7,12.2,47895.1,0.92
Iceland,2008,82.6,16.8,12.3,49578.8,0.925
Iceland,2009,82.8,16.9,12.4,51317.7,0.93
Iceland,2010,83.0,17.1,12.5,53125.2,0.935
Iceland,2011,83.2,17.1,12.6,54983.7,0.939
Iceland,2012,83.4,17.3,12.7,56917.9,0.945
Iceland,2013,83.8,17.5,12.8,58940.5,0.952
Iceland,2014,84.0,17.6,12.9,61007.0,0.957
Iceland,2015,84.3,17.7,13.0,63165.0,0.963
Iceland,2016,84.5,17.9,13.1,65385.6,0.968
Iceland,2017,84.7,17.9,13.2,67677.0,0.972
Iceland,2018,85.0,18.0,13.4,70083.7,0.978
Iceland,2019,85.0,18.0,13.5,72545.2,0.981
Iceland,2020,85.0,18.0,13.6,75000.0,0.984
Iceland,2021,85.0,18.0,13.7,75000.0,0.985
Iceland,2022,85.0,18.0,13.8,75000.0,0.986
Japan,2003,80.3,16.4,11.5,52576.8,0.903
Japan,2004,80.3,16.4,11.5,53462.2,0.905
Japan,2005,80.2,16.4,11.5,54351.5,0.905
Japan,2006,80.5,16.6,11.7,55305.2,0.911
Japan,2007,80.5,16.7,11.7,56244.3,0.913
Japan,2008,80.8,16.9,11.9,57223.2,0.918
Japan,2009,80.7,16.9,11.9,,0.92
Japan,2010,80.9,17.0,12.0,59190.9,0.924
Japan,2011,81.1,17.2,12.1,60211.3,0.928
Japan,2012,81.2,17.3,12.2,61246.5,0.932
Japan,2013,81.1,17.3,12.2,62275.0,0.933
Japan,2014,,17.4,12.3,63350.9,0.937
Japan,2015,81.4,17.5,12.4,64435.0,0.94
Japan,2016,81.5,,12.5,65537.3,0.943
Japan,2017,81.9,17.8,12.6,66684.5,0.95
Japan,2018,,17.9,12.7,67813.1,0.951
Japan,2019,81.8,17.9,12.7,68958.3,0.953
Japan,2020,82.1,18.0,12.9,70161.8,0.958
Japan,2021,82.3,18.0,13.0,71375.8,0.961
Japan,2022,82.3,18.0,13.0,72587.5,0.962
Krypton,2003,79.5,14.7,11.7,57006.5,0.888
Krypton,2004,79.8,14.9,11.8,57903.3,0.894
Krypton,2005,79.8,14.9,11.8,58773.5,0.894
Krypton,2006,79.8,14.9,11.8,59667.1,0.895
Krypton,2007,79.9,14.9,11.9,60580.1,0.897
Krypton,2008,80.1,15.0,11.9,61522.7,0.901
Krypton,2009,80.1,15.0,11.9,62448.8,0.901
Krypton,2010,80.3,15.1,12.0,63415.2,0.904
Krypton,2011,80.7,15.3,12.1,64417.9,0.91
Krypton,2012,80.8,15.3,12.1,65404.9,0.912
Krypton,2013,80.7,15.3,12.1,66394.8,0.913
Krypton,2014,80.8,15.3,12.2,67411.3,0.915
Krypton,2015,81.0,15.4,12.2,68452.0,0.918
Krypton,2016,81.4,15.6,12.3,69526.3,0.923
Krypton,2017,81.3,15.5,12.3,70574.4,0.923
Krypton,2018,81.5,15.6,12.4,71663.4,0.926
Krypton,2019,81.5,15.6,12.4,72752.9,0.927
Krypton,2020,81.6,15.7,12.5,73873.1,0.93
Krypton,2021,81.8,15.8,12.5,75000.0,0.933
Krypton,2022,81.9,15.8,12.5,75000.0,0.934
Luxembourg,2003,80.5,15.2,12.3,47125.2,0.896
Luxembourg,2004,80.7,15.2,12.3,48465.7,0.899
Luxembourg,2005,81.0,15.3,12.4,49858.1,0.904
Luxembourg,2006,81.3,15.4,12.5,51283.3,0.909
Luxembourg,2007,81.5,15.5,12.6,52751.2,0.913
Luxembourg,2008,82.0,15.7,12.7,54276.6,0.919
Luxembourg,2009,82.2,15.7,12.7,55826.0,0.923
Luxembourg,2010,82.4,15.8,12.8,57414.2,0.926
Luxembourg,2011,82.8,15.9,12.9,59074.7,0.933
Luxembourg,2012,83.1,16.0,12.9,60760.5,
Luxembourg,2013,83.4,16.1,13.0,62505.6,0.942
Luxembourg,2014,83.7,16.2,13.1,64293.8,0.946
Luxembourg,2015,83.8,16.2,13.1,66120.4,0.949
Luxembourg,2016,84.1,16.3,13.2,68017.0,0.954
Luxembourg,2017,84.6,16.4,13.3,69978.3,0.96
Luxembourg,2018,84.8,16.5,13.4,71980.9,0.964
Luxembourg,2019,85.0,16.6,13.4,74036.0,0.968
Luxembourg,2020,85.0,16.7,13.5,75000.0,0.97
Luxembourg,2021,85.0,16.8,13.6,75000.0,0.973
Luxembourg,2022,85.0,16.8,13.6,75000.0,0.973
Netherlands,2003,79.0,16.8,12.7,46156.9,0.908
Netherlands,2004,79.4,16.9,12.8,47724.9,0.914
Netherlands,2005,79.5,16.9,12.8,49321.8,0.916
Netherlands,2006,79.9,17.0,12.9,51002.4,0.922
Netherlands,2007,80.0,17.0,12.9,52712.6,0.924
Netherlands,2008,80.4,17.1,13.0,54503.8,0.93
Netherlands,2009,80.5,17.1,13.0,56333.0,0.932
Netherlands,2010,80.7,17.2,13.0,58232.1,0.936
Netherlands,2011,81.2,17.4,13.2,60224.2,0.943
Netherlands,2012,81.4,17.4,13.2,62249.0,0.946
Netherlands,2013,81.4,17.3,13.2,64322.3,0.946
Netherlands,2014,81.8,,13.2,66508.6,0.952
Netherlands,2015,82.2,17.6,13.3,68771.4,0.958
Netherlands,2016,82.2,17.5,13.3,71069.5,0.959
Netherlands,2017,82.6,17.7,13.4,73489.7,0.966
Netherlands,2018,82.9,17.7,13.5,75000.0,0.969
Netherlands,2019,83.0,17.7,13.5,75000.0,0.97
Netherlands,2020,83.3,,13.5,75000.0,0.973
Netherlands,2021,83.4,17.8,13.5,75000.0,0.973
Netherlands,2022,84.0,,13.7,75000.0,0.98
Norway,2003,82.4,15.1,11.2,36721.2,0.879
Norway,2004,82.5,15.1,11.3,37963.5,0.882
Norway,2005,82.7,15.1,11.3,39256.2,0.886
Norway,2006,83.0,15.2,11.4,40599.6,0.891
Norway,2007,83.1,15.2,11.4,41964.6,0.892
Norway,2008,83.3,15.3,11.4,43393.9,0.896
Norway,2009,83.6,15.4,11.5,44878.3,0.901
Norway,2010,83.9,15.5,11.6,46411.2,0.906
Norway,2011,84.1,15.5,,47996.2,0.91
Norway,2012,84.5,15.7,11.7,49641.4,0.916
Norway,2013,84.6,15.7,11.7,51324.4,0.919
Norway,2014,84.8,15.7,11.8,53060.9,0.921
Norway,2015,85.0,15.8,11.8,54868.5,0.925
Norway,2016,85.0,15.8,11.8,56726.2,0.927
Norway,2017,85.0,15.9,11.9,58667.3,0.931
Norway,2018,85.0,15.9,11.9,60661.5,0.934
Norway,2019,85.0,16.0,12.0,62732.5,0.937
Norway,2020,85.0,16.0,12.0,64856.1,0.939
Norway,2021,85.0,16.2,12.1,67077.4,0.943
Norway,2022,85.0,16.3,12.2,69370.6,0.947
Oman,2003,82.8,15.1,11.6,60664.5,0.91
Oman,2004,83.2,15.2,11.6,61922.7,0.915
Oman,2005,83.4,15.3,11.7,63192.3,0.917
Oman,2006,83.7,15.3,11.7,64489.2,0.92
Oman,2007,84.2,15.4,11.8,65839.2,0.927
Oman,2008,84.3,15.4,11.8,67175.7,0.928
Oman,2009,84.5,15.4,11.8,68550.3,0.93
Oman,2010,85.0,15.6,11.9,69984.8,0.936
Oman,2011,85.0,15.6,11.9,71418.8,0.938
Oman,2012,85.0,15.7,12.0,72895.2,0.94
Oman,2013,85.0,15.6,12.0,,0.941
Oman,2014,85.0,15.7,12.0,75000.0,0.943
Oman,2015,85.0,15.7,12.0,75000.0,0.942
Oman,2016,85.0,15.8,12.1,75000.0,0.945
Oman,2017,85.0,15.8,12.1,75000.0,0.945
Oman,2018,85.0,15.8,12.2,75000.0,0.945
Oman,2019,85.0,16.0,12.3,75000.0,0.948
Oman,2020,,,12.2,,0.947
Oman,2021,85.0,16.0,12.3,75000.0,0.948
Oman,2022,85.0,16.1,12.4,75000.0,0.951
Portugal,2003,81.8,16.0,11.3,62047.4,0.911
Portugal,2004,82.4,16.3,,64286.0,0.921
Portugal,2005,82.6,16.4,11.6,66565.1,0.926
Portugal,2006,82.7,16.4,11.6,68915.4,0.929
Portugal,2007,82.9,,11.7,71354.0,0.933
Portugal,2008,83.5,16.7,11.8,,0.943
Portugal,2009,83.6,16.8,11.9,75000.0,0.945
Portugal,2010,84.0,17.0,12.0,75000.0,0.951
Portugal,2011,84.0,17.0,12.1,75000.0,0.951
Portugal,2012,84.4,17.1,12.2,,0.956
Portugal,2013,84.8,17.3,12.3,75000.0,0.961
Portugal,2014,85.0,17.4,,75000.0,0.964
Portugal,2015,85.0,17.5,12.5,75000.0,0.966
Portugal,2016,85.0,17.7,12.6,75000.0,0.97
Portugal,2017,85.0,17.7,12.7,75000.0,0.971
Portugal,2018,85.0,17.9,12.8,75000.0,0.974
Portugal,2019,85.0,18.0,12.9,75000.0,0.976
Portugal,2020,85.0,18.0,13.0,75000.0,0.977
Portugal,2021,85.0,18.0,13.1,75000.0,0.979
Portugal,2022,85.0,18.0,13.2,75000.0,0.979
Qatar,2003,80.7,15.1,11.2,54163.6,0.89
Qatar,2004,81.1,15.2,11.3,55690.4,0.896
Qatar,2005,81.3,15.3,11.4,57248.6,0.9
Qatar,2006,81.5,15.4,11.5,58843.1,0.904
Qatar,2007,81.6,15.4,11.5,60479.2,0.907
Qatar,2008,82.0,15.6,11.6,62180.9,0.912
Qatar,2009,82.4,15.8,11.8,63940.1,0.919
Qatar,2010,82.6,15.8,11.8,65724.4,0.923
Qatar,2011,82.7,15.9,11.9,67551.8,0.926
Qatar,2012,83.0,16.0,12.0,69444.8,0.931
Qatar,2013,83.1,16.0,12.0,71376.0,0.934
Qatar,2014,83.7,16.3,12.2,73407.3,0.942
Qatar,2015,83.9,16.3,12.2,,0.946
Qatar,2016,84.0,16.4,12.3,75000.0,0.948
Qatar,2017,84.3,16.5,12.4,75000.0,0.952
Qatar,2018,84.3,16.5,12.4,75000.0,0.952
Qatar,2019,84.7,16.7,12.5,75000.0,0.957
Qatar,2020,85.0,16.9,12.6,75000.0,0.962
Qatar,2021,85.0,17.0,12.7,75000.0,0.964
Qatar,2022,85.0,17.0,12.8,75000.0,0.965
Sweden,2003,82.5,14.3,12.8,48219.2,0.905
Sweden,2004,82.9,,13.0,49274.0,0.912
Sweden,2005,83.0,14.7,13.1,50319.1,0.915
Sweden,2006,83.3,14.9,13.2,51418.8,0.923
Sweden,2007,83.5,15.1,13.3,52518.8,0.927
Sweden,2008,83.6,15.1,13.4,53632.5,0.93
Sweden,2009,83.8,15.3,13.6,54787.7,0.936
Sweden,2010,83.9,15.4,13.7,55957.9,0.94
Sweden,2011,,15.6,13.8,57168.8,0.946
Sweden,2012,84.5,15.8,13.9,58405.6,0.952
Sweden,2013,84.5,15.9,14.0,59639.1,0.955
Sweden,2014,84.9,16.1,14.2,60933.8,0.961
Sweden,2015,84.9,16.2,14.3,62230.8,0.965
Sweden,2016,85.0,16.3,14.4,63563.5,0.969
Sweden,2017,85.0,16.5,14.5,,0.973
Sweden,2018,85.0,16.6,14.6,66318.3,0.976
Sweden,2019,85.0,16.8,14.7,67746.3,0.98
Sweden,2020,85.0,16.9,14.8,69193.6,0.984
Sweden,2021,85.0,17.2,15.0,70710.1,0.99
Sweden,2022,85.0,17.3,15.0,72207.5,0.991
Switzerland,2003,77.3,16.4,12.3,34706.6,0.877
Switzerland,2004,77.5,16.4,12.3,35970.1,0.88
Switzerland,2005,77.7,16.5,12.3,37294.3,0.884
Switzerland,2006,78.1,16.6,12.4,38681.6,0.89
Switzerland,2007,78.3,16.6,12.4,40095.2,0.892
Switzerland,2008,78.5,16.6,12.4,41565.6,0.896
Switzerland,2009,79.2,16.9,12.6,43133.4,0.905
Switzerland,2010,79.2,16.8,12.6,44694.6,0.906
Switzerland,2011,79.4,16.8,12.6,46338.1,0.909
Switzerland,2012,79.6,16.8,12.6,48029.8,0.912
Switzerland,2013,80.2,17.0,12.7,49830.4,0.92
Switzerland,2014,80.3,17.0,12.7,51647.4,0.922
Switzerland,2015,80.6,17.1,12.8,53560.6,0.927
Switzerland,2016,81.0,17.2,12.9,55543.2,0.933
Switzerland,2017,81.1,17.1,12.9,57569.6,0.935
Switzerland,2018,81.5,17.2,12.9,59701.3,0.94
Switzerland,2019,81.9,17.4,13.0,61915.1,0.946
Switzerland,2020,81.8,17.2,13.0,64155.6,0.946
Switzerland,2021,82.3,17.4,13.0,66536.4,0.952
Switzerland,2022,82.5,17.4,13.1,68987.0,0.956
United Kingdom,2003,79.4,14.1,11.7,38994.7,0.864
United Kingdom,2004,79.5,14.2,11.8,39890.4,0.867
United Kingdom,2005,79.5,14.3,11.9,40806.3,0.871
United Kingdom,2006,79.8,14.6,12.0,41767.3,0.877
United Kingdom,2007,79.8,14.6,12.1,42721.4,0.88
United Kingdom,2008,79.8,14.7,12.2,43702.6,0.883
United Kingdom,2009,80.2,15.0,12.3,44740.0,0.89
United Kingdom,2010,80.2,15.1,12.4,45767.2,0.894
United Kingdom,2011,80.2,15.1,12.5,46812.6,0.896
United Kingdom,2012,80.4,15.3,12.6,47906.7,0.902
United Kingdom,2013,80.4,15.4,12.7,49010.8,0.905
United Kingdom,2014,80.5,15.5,12.8,50142.3,0.909
United Kingdom,2015,80.8,15.8,13.0,51328.4,0.916
United Kingdom,2016,81.1,16.0,13.1,52528.2,0.922
United Kingdom,2017,80.9,15.9,13.2,53712.7,0.922
United Kingdom,2018,81.2,16.2,13.3,54978.1,0.929
United Kingdom,2019,81.2,16.3,13.4,,0.932
United Kingdom,2020,81.3,16.4,13.5,57546.5,0.936
United Kingdom,2021,81.4,16.5,13.6,58879.9,0.941
United Kingdom,2022,81.5,16.7,13.7,60242.6,0.945
United States,2003,78.1,16.7,11.2,49312.8,0.888
United States,2004,78.3,16.7,11.2,50553.6,0.891
United States,2005,78.7,16.8,11.3,51833.8,0.896
United States,2006,79.0,16.9,11.3,53143.4,0.899
United States,2007,79.2,16.9,11.3,54475.8,0.902
United States,2008,79.5,17.0,11.4,55853.9,0.906
United States,2009,79.9,17.1,11.5,57275.5,0.911
United States,2010,80.1,17.1,11.5,58719.0,0.915
United States,2011,80.6,17.3,11.6,60220.5,0.921
United States,2012,80.9,17.3,11.6,61736.9,0.924
United States,2013,81.1,17.3,11.7,63289.1,0.927
United States,2014,81.2,17.3,11.7,64870.6,0.929
United States,2015,81.5,17.4,11.7,66511.4,0.933
United States,2016,81.8,17.4,11.8,68187.2,0.937
United States,2017,82.2,17.6,11.9,69922.7,0.942
United States,2018,82.2,17.5,11.8,71658.7,0.942
United States,2019,82.7,17.6,11.9,73492.3,0.949
United States,2020,83.0,17.7,12.0,75000.0,0.953
United States,2021,83.2,17.7,12.0,75000.0,0.954
United States,2022,83.8,17.9,12.1,75000.0,0.96
Singapore,2003,80.6,14.5,12.0,49585.5,0.889
Singapore,2004,80.6,14.5,12.0,50377.5,0.889
Singapore,2005,80.9,14.6,12.1,51212.7,0.894
Singapore,2006,80.9,14.6,12.1,52027.4,0.894
Singapore,2007,81.2,14.7,12.2,52892.0,0.899
Singapore,2008,81.5,14.9,12.3,53763.0,0.903
Singapore,2009,81.2,14.7,12.2,54599.7,0.901
Singapore,2010,81.6,14.9,12.3,55506.6,0.906
Singapore,2011,81.9,15.0,12.4,56425.0,0.911
Singapore,2012,82.0,15.0,,57336.6,0.913
Singapore,2013,82.2,15.1,12.5,58276.7,0.916
Singapore,2014,82.3,15.1,12.5,59216.5,0.918
Singapore,2015,82.5,,12.6,60188.5,0.922
Singapore,2016,82.6,15.3,12.6,61166.9,0.924
Singapore,2017,82.9,15.4,12.7,62176.9,0.929
Singapore,2018,83.0,15.4,12.7,63180.7,0.93
Singapore,2019,83.2,15.5,12.8,64211.1,0.933
Singapore,2020,83.3,15.5,12.8,65249.9,0.935
Singapore,2021,83.5,15.6,12.9,66312.5,0.938
Singapore,2022,83.6,15.6,12.9,67393.7,0.941
Australia,2003,78.0,16.4,12.3,49258.7,0.898
Australia,2004,78.4,16.6,12.4,50455.0,0.904
Australia,2005,78.5,16.6,12.5,51644.4,0.906
Australia,2006,78.6,16.6,12.5,52866.9,0.908
Australia,2007,79.2,16.9,12.6,54167.5,0.917
Australia,2008,79.3,16.8,12.7,55446.8,0.918
Australia,2009,79.5,16.9,12.7,56768.7,0.922
Australia,2010,79.9,17.1,12.8,58145.8,0.928
Australia,2011,80.2,17.1,12.9,59537.1,0.932
Australia,2012,80.5,17.3,13.0,60974.9,0.938
Australia,2013,80.8,17.4,13.1,62437.0,0.942
Australia,2014,81.0,17.4,13.1,63925.5,0.945
Australia,2015,81.2,17.5,13.2,65448.0,0.948
Australia,2016,81.6,17.6,13.3,67028.8,0.954
Australia,2017,81.9,17.7,13.3,68634.2,0.958
Australia,2018,82.2,17.8,13.4,70283.5,0.963
Australia,2019,82.3,17.8,13.5,71953.6,0.965
Australia,2020,82.6,17.9,13.5,73683.4,0.97
Australia,2021,83.0,18.0,13.6,75000.0,0.974
Australia,2022,83.3,18.0,13.7,75000.0,0.977
New Zealand,2003,80.2,16.7,12.6,37006.0,0.901
New Zealand,2004,80.3,16.8,12.7,37844.0,0.904
New Zealand,2005,80.5,17.0,12.8,38716.2,0.909
New Zealand,2006,80.7,17.1,12.9,39597.1,0.913
New Zealand,2007,80.9,17.2,13.0,40506.6,0.919
New Zealand,2008,80.9,17.3,13.1,41414.2,0.921
New Zealand,2009,81.1,17.4,13.2,42360.6,0.925
New Zealand,2010,81.2,17.5,13.2,43319.1,0.929
New Zealand,2011,81.4,17.7,13.4,44312.1,0.933
New Zealand,2012,81.6,17.8,13.5,45330.4,0.939
New Zealand,2013,81.8,18.0,13.6,46367.3,0.943
New Zealand,2014,81.8,18.0,13.6,47407.2,0.945
New Zealand,2015,82.1,18.0,,48505.9,0.95
New Zealand,2016,82.3,18.0,13.9,49616.2,0.953
New Zealand,2017,82.3,18.0,14.0,50737.3,0.955
New Zealand,2018,82.6,18.0,14.1,51908.3,0.959
New Zealand,2019,82.5,18.0,14.2,53064.6,0.96
New Zealand,2020,82.6,18.0,14.2,54269.5,0.963
New Zealand,2021,82.7,18.0,14.3,55501.4,0.966
New Zealand,2022,83.2,18.0,14.5,56799.6,0.971
Ireland,2003,80.0,16.9,11.4,51363.4,0.904
Ireland,2004,80.1,16.9,11.4,52771.0,
Ireland,2005,80.2,17.0,11.4,54226.1,0.909
Ireland,2006,80.5,17.0,11.4,55727.5,0.912
Ireland,2007,80.7,17.1,11.5,57266.2,0.915
Ireland,2008,80.8,17.0,11.5,58835.5,0.917
