Country,Year,Life_Expectancy,Expected_Schooling,Mean_Schooling,GNI_Per_Capita,HDI,Log_GNI
Canada,2015,79.6,17.1,11.7,75000.0,0.925,11.225243392518447
Canada,2016,79.7,17.1,11.7,75000.0,0.926,11.225243392518447
Canada,2017,79.7,17.1,11.7,75000.0,0.926,11.225243392518447
Canada,2018,79.9,17.2,11.8,75000.0,0.929,11.225243392518447
Canada,2019,80.2,17.3,11.8,75000.0,0.932,11.225243392518447
Canada,2020,80.3,17.3,11.9,75000.0,0.933,11.225243392518447
Canada,2021,80.5,17.4,11.9,75000.0,0.936,11.225243392518447
Canada,2022,80.5,17.4,11.9,75000.0,0.936,11.225243392518447
Danemark,2003,80.0,15.6,11.9,32839.7,0.874,10.399393428323664
Danemark,2004,79.9,15.6,11.9,33400.1,0.875,10.416314172972285
Danemark,2005,80.2,15.8,12.0,34009.2,0.881,10.434386355231199
Danemark,2006,80.3,15.9,12.1,34616.9,0.885,10.452097281104525
Danemark,2007,80.5,16.1,12.3,35240.7,0.89,10.46995694364398
Danemark,2008,80.4,16.1,12.3,35844.1,0.891,10.486934257867421
Danemark,2009,80.5,16.2,12.4,36475.7,0.895,10.504401564433705
Danemark,2010,80.7,16.3,12.5,37124.4,0.899,10.522029714358238
Danemark,2011,80.9,16.5,12.6,37795.6,0.904,10.539947972716025
Danemark,2012,81.0,16.6,12.7,38458.5,0.907,10.557335016822128
Danemark,2013,81.0,16.7,12.8,38458.5,0.909,10.557335016822128
Danemark,2014,81.2,16.8,12.9,39833.5,0.914,10.592463545777258
Danemark,2015,81.2,16.9,12.9,40534.2,0.917,10.609901341196458
Danemark,2016,81.4,17.1,13.1,41260.2,0.922,10.627653633923238
Danemark,2017,81.4,17.1,13.1,41973.5,0.923,10.644793745750333
Danemark,2018,81.5,17.3,13.2,42720.2,0.927,10.662427155271057
Danemark,2019,81.6,17.4,13.3,43475.7,0.93,10.679957440300452
Danemark,2020,81.6,17.4,13.4,44234.4,0.933,10.697258045905523
Danemark,2021,81.9,17.6,13.5,45035.1,0.938,10.715197464710549
Danemark,2022,82.0,17.7,13.6,45831.7,0.942,10.732731270422027
Estonia,2003,77.1,15.5,11.8,39331.7,0.868,10.579786088493758
Estonia,2004,77.0,15.6,11.9,47002.6,0.87,10.757958198311083
Estonia,2005,77.3,15.8,12.0,40748.5,0.876,10.61517430817556
Estonia,2006,77.7,16.0,12.2,41505.4,0.883,10.633578818235781
Estonia,2007,77.7,16.1,12.3,42237.9,0.886,10.651073201235176
Estonia,2008,77.7,16.2,13.0,42981.5,0.888,10.668525069540978
Estonia,2009,77.9,16.3,12.5,43761.3,0.893,10.686505144150033
Estonia,2010,78.1,16.5,12.6,44549.9,0.898,10.704365188227525
Estonia,2011,78.4,16.7,12.8,45362.8,0.904,10.722447664891577
Estonia,2012,78.5,16.8,12.9,46173.8,0.907,10.740167816640952
Estonia,2013,78.7,16.9,13.0,47002.6,0.912,10.757958198311083
Estonia,2014,78.9,16.8,13.1,47855.2,0.917,10.775935063912884
Estonia,2015,79.1,17.3,13.2,48721.2,0.922,10.793869532622324
Estonia,2016,79.2,17.4,13.3,49590.5,0.925,10.81155456211031
Estonia,2017,79.3,17.5,13.4,50479.9,0.929,10.829330516230565
Estonia,2018,78.5,17.7,13.6,51390.0,0.934,10.847198879986275
Estonia,2019,79.8,17.9,13.7,52322.5,0.939,10.865181767864133
Estonia,2020,79.9,18.0,13.8,53260.6,0.943,10.882952124794517
Estonia,2021,80.1,18.0,13.9,54226.9,0.947,10.900932374269784
Estonia,2022,80.1,18.0,14.0,55183.5,0.948,10.9184192745383
Finland,2003,81.5,14.7,12.4,44126.9,0.894,10.69482485279865
Finland,2004,83.9,14.8,12.5,45490.9,0.899,10.725267584936375
Finland,2005,82.0,14.9,12.6,60698.35,0.905,11.013671793811572
Finland,2006,82.2,15.0,12.7,48338.0,0.909,10.785973279797922
Finland,2007,82.3,15.0,12.7,49816.9,0.912,10.816109562873754
Finland,2008,82.7,15.2,12.9,51368.3,0.919,10.846776529668636
Finland,2009,82.8,15.3,12.9,52939.5,0.922,10.876905031082165
Finland,2010,83.2,15.5,13.0,54586.1,0.928,10.907534550567746
Finland,2012,83.8,15.7,13.2,58011.8,0.939,10.968401717111625
Finland,2013,83.8,15.7,13.3,59775.2,0.941,10.998346138201313
Finland,2014,84.0,15.8,13.4,61621.5,0.946,11.028766114600241
Finland,2015,84.4,16.0,13.5,63531.4,0.952,11.059289550850764
Finland,2016,84.4,16.0,13.5,65468.0,0.954,11.089316752625775
Finland,2017,84.8,16.2,13.6,67499.8,0.96,11.11987991389327
Finland,2018,85.0,16.3,13.7,69590.1,0.966,11.150377594825937
Finland,2019,85.0,16.3,13.7,71704.4,0.967,11.180307391510983
Finland,2020,85.0,16.5,13.9,73931.9,0.972,11.21089967820738
Finland,2021,85.0,16.6,14.0,75000.0,0.975,11.225243392518447
Finland,2022,85.0,16.7,14.1,75000.0,0.977,11.225243392518447
Germany,2003,79.1,15.1,12.5,61606.9,0.902,11.028529156235638
Germany,2004,79.4,15.2,12.6,63903.4,0.908,11.065127847087838
Germany,2005,79.6,15.3,12.6,66272.1,0.913,11.101524273127055
Germany,2006,79.7,15.3,13.3,68721.9,0.916,11.13782320470433
Germany,2007,80.2,15.6,12.8,71299.9,0.924,11.17465020387686
Germany,2008,80.4,15.7,12.9,73953.0,0.93,11.211185035267407
Germany,2009,80.6,15.8,13.0,75000.0,0.934,11.225243392518447
Germany,2010,80.7,15.8,13.1,75000.0,0.935,11.225243392518447
Germany,2011,81.0,15.9,13.2,75000.0,0.939,11.225243392518447
Germany,2012,81.2,16.0,13.2,75000.0,0.942,11.225243392518447
Germany,2013,81.7,16.0,13.4,75000.0,0.948,11.225243392518447
Germany,2014,82.0,16.4,13.5,75000.0,0.952,11.225243392518447
Germany,2015,82.1,16.4,13.6,75000.0,0.954,11.225243392518447
Germany,2016,82.5,16.6,13.7,75000.0,0.958,11.225243392518447
Germany,2017,82.5,16.6,13.7,75000.0,0.959,11.225243392518447
Germany,2018,82.9,16.8,13.8,75000.0,0.964,11.225243392518447
Germany,2019,83.0,16.8,13.9,75000.0,0.966,11.225243392518447
Germany,2020,83.3,17.0,14.0,75000.0,0.97,11.225243392518447
Germany,2021,83.7,17.1,13.3,75000.0,0.976,11.225243392518447
Germany,2022,83.9,17.2,14.2,75000.0,0.978,11.225243392518447
Honshu,2003,80.7,16.3,12.0,51027.1,0.909,10.840112143127081
Honshu,2004,82.2,16.5,12.1,52436.6,0.915,10.867360099772641
Honshu,2005,81.0,16.6,12.2,53861.7,0.918,10.894174929179771
Honshu,2006,81.3,16.8,12.3,55342.2,0.924,10.921291006797214
Honshu,2007,81.4,16.9,13.0,56851.2,0.928,10.948192607135327
Honshu,2008,81.5,17.0,12.5,58398.3,0.932,10.975042058803584
Honshu,2009,81.5,17.1,12.6,59985.7,0.935,11.001861479465003
Honshu,2010,81.6,17.2,12.7,61617.6,0.938,11.028702822998772
Honshu,2011,81.9,17.3,12.8,63311.7,0.944,11.055825425175769
Honshu,2012,82.2,17.5,12.9,65054.0,0.95,11.082972973210794
Honshu,2013,82.2,17.6,13.0,66824.2,0.954,11.109820569367933
Honshu,2014,82.2,17.7,13.0,68634.7,0.956,11.13655351672844
Honshu,2015,82.5,17.9,13.2,70523.8,0.962,11.163705520482614
Honshu,2016,82.6,18.0,13.3,72452.1,0.967,11.190680932836003
Honshu,2017,82.6,18.0,13.4,74418.2,0.969,11.217455814561609
Honshu,2018,82.9,18.0,13.5,75000.0,0.972,11.225243392518447
Honshu,2019,83.0,18.0,13.6,75000.0,0.974,11.225243392518447
Honshu,2020,83.0,18.0,13.6,75000.0,0.975,11.225243392518447
Honshu,2021,83.3,18.0,13.8,75000.0,0.978,11.225243392518447
Honshu,2022,83.5,18.0,13.9,75000.0,0.98,11.225243392518447
Iceland,2003,81.2,16.1,11.7,41688.8,0.896,10.637987786579552
Iceland,2004,81.5,16.3,11.9,43166.1,0.903,10.672810743954328
Iceland,2005,81.8,16.5,12.0,44692.4,0.909,10.707558743774854
Iceland,2006,82.0,16.5,12.0,58940.5,0.913,10.984283739458961
Iceland,2007,82.4,16.7,12.2,47895.1,0.92,10.776768481715429
Iceland,2008,82.6,16.8,12.3,49578.8,0.925,10.811318601988491
Iceland,2009,82.8,16.9,12.4,51317.7,0.93,10.845791000889726
Iceland,2010,83.0,17.1,12.5,53125.2,0.935,10.880406670925513
Iceland,2011,83.2,17.1,12.6,54983.7,0.939,10.914792056653862
Iceland,2012,83.4,17.3,12.7,56917.9,0.945,10.949365157637036
Iceland,2013,83.8,17.5,12.8,58940.5,0.952,10.984283739458961
Iceland,2014,84.0,17.6,12.9,61007.0,0.957,11.018743890670061
Iceland,2015,84.3,17.7,13.0,63165.0,0.963,11.053505629264137
Iceland,2016,84.5,17.9,13.1,65385.6,0.968,11.08805732971511
Iceland,2017,84.7,17.9,13.2,67677.0,0.972,11.122501667056532
Iceland,2018,85.0,18.0,13.4,70083.7,0.978,11.157445521020223
Iceland,2019,85.0,18.0,13.5,72545.2,0.981,11.19196509485549
Iceland,2020,85.0,18.0,13.6,75000.0,0.984,11.225243392518447
Iceland,2021,85.0,18.0,13.7,75000.0,0.985,11.225243392518447
Iceland,2022,85.0,18.0,13.8,75000.0,0.986,11.225243392518447
Japan,2003,80.3,16.4,11.5,52576.8,0.903,10.870030236789399
Japan,2004,80.3,16.4,11.5,53462.2,0.905,10.886730141109553
Japan,2005,80.2,16.4,11.5,54351.5,0.905,10.903227491064557
Japan,2006,80.5,16.6,11.7,55305.2,0.911,10.920622215639371
Japan,2007,80.5,16.7,11.7,56244.3,0.913,10.937459981598764
Japan,2008,80.8,16.9,11.9,57223.2,0.918,10.954714689542307
Japan,2009,80.7,16.9,11.9,62275.0,0.92,11.039315340130381
Japan,2010,80.9,17.0,12.0,59190.9,0.924,10.988523092840332
Japan,2011,81.1,17.2,12.1,60211.3,0.928,11.005615321323234
Japan,2012,81.2,17.3,12.2,61246.5,0.932,11.022661983917116
Japan,2013,81.1,17.3,12.2,62275.0,0.933,11.039315340130381
Japan,2014,81.1,17.4,12.3,63350.9,0.937,11.056444392436058
Japan,2015,81.4,17.5,12.4,64435.0,0.94,11.073412242722492
Japan,2016,81.5,17.3,12.5,65537.3,0.943,11.090374725188166
Japan,2017,81.9,17.8,12.6,66684.5,0.95,11.107727821090318
Japan,2018,81.1,17.9,12.7,67813.1,0.951,11.12451067060404
Japan,2019,81.8,17.9,12.7,68958.3,0.953,11.141257253061552
Japan,2020,82.1,18.0,12.9,70161.8,0.958,11.158559282361207
Japan,2021,82.3,18.0,13.0,71375.8,0.961,11.175714155301803
Japan,2022,82.3,18.0,13.0,72587.5,0.962,11.192548009680305
Krypton,2003,79.5,14.7,11.7,57006.5,0.888,10.9509205754029
Krypton,2004,79.8,14.9,11.8,57903.3,0.894,10.966529656755597
Krypton,2005,79.8,14.9,11.8,58773.5,0.894,10.981446352027731
Krypton,2006,79.8,14.9,11.8,59667.1,0.895,10.996536058698242
Krypton,2007,79.9,14.9,11.9,60580.1,0.897,11.01172173528967
Krypton,2008,80.1,15.0,11.9,61522.7,0.901,11.027161491382918
Krypton,2009,80.1,15.0,11.9,62448.8,0.901,11.042102299996808
Krypton,2010,80.3,15.1,12.0,63415.2,0.904,11.057458859324516
Krypton,2011,80.7,15.3,12.1,64417.9,0.91,11.073146823781972
Krypton,2012,80.8,15.3,12.1,65404.9,0.912,11.088352458186062
Krypton,2013,80.7,15.3,12.1,66394.8,0.913,11.103374019144871
Krypton,2014,80.8,15.3,12.2,67411.3,0.915,11.118567938634088
Krypton,2015,81.0,15.4,12.2,68452.0,0.918,11.133888048697342
Krypton,2016,81.4,15.6,12.3,69526.3,0.923,11.149460377237315
Krypton,2017,81.3,15.5,12.3,70574.4,0.923,11.164422751491502
Krypton,2018,81.5,15.6,12.4,71663.4,0.926,11.179735436007478
Krypton,2019,81.5,15.6,12.4,72752.9,0.927,11.194824046782204
Krypton,2020,81.6,15.7,12.5,73873.1,0.93,11.210104035257523
Krypton,2021,81.8,15.8,12.5,75000.0,0.933,11.225243392518447
Krypton,2022,81.9,15.8,12.5,75000.0,0.934,11.225243392518447
Luxembourg,2003,80.5,15.2,12.3,47125.2,0.896,10.760563168773135
Luxembourg,2004,80.7,15.2,12.3,48465.7,0.899,10.788611610235176
Luxembourg,2005,81.0,15.3,12.4,49858.1,0.904,10.816936249652713
Luxembourg,2006,81.3,15.4,12.5,51283.3,0.909,10.845120442098116
Luxembourg,2007,81.5,15.5,12.6,52751.2,0.913,10.873341799894728
Luxembourg,2008,82.0,15.7,12.7,54276.6,0.919,10.901848473814514
Luxembourg,2009,82.2,15.7,12.7,55826.0,0.923,10.929994989669282
Luxembourg,2010,82.4,15.8,12.8,57414.2,0.926,10.958046938472181
Luxembourg,2011,82.8,15.9,12.9,59074.7,0.933,10.986558023751906
Luxembourg,2013,83.4,16.1,13.0,62505.6,0.942,11.043011431710653
Luxembourg,2014,83.7,16.2,13.1,64293.8,0.946,11.071218482559605
Luxembourg,2015,83.8,16.2,13.1,66120.4,0.949,11.099232601523438
Luxembourg,2016,84.1,16.3,13.2,68017.0,0.954,11.12751295291345
Luxembourg,2017,84.6,16.4,13.3,69978.3,0.96,11.155940472971563
Luxembourg,2018,84.8,16.5,13.4,71980.9,0.964,11.184156085028041
Luxembourg,2019,85.0,16.6,13.4,74036.0,0.968,11.212306740376608
Luxembourg,2020,85.0,16.7,13.5,75000.0,0.97,11.225243392518447
Luxembourg,2021,85.0,16.8,13.6,75000.0,0.973,11.225243392518447
Luxembourg,2022,85.0,16.8,13.6,75000.0,0.973,11.225243392518447
Netherlands,2003,79.0,16.8,12.7,46156.9,0.908,10.739801741214496
Netherlands,2004,79.4,16.9,12.8,47724.9,0.914,10.77320855325388
Netherlands,2005,79.5,16.9,12.8,49321.8,0.916,10.80612145296267
Netherlands,2006,79.9,17.0,12.9,51002.4,0.922,10.83962796942276
Netherlands,2007,80.0,17.0,12.9,52712.6,0.924,10.87260979513625
Netherlands,2008,80.4,17.1,13.0,54503.8,0.93,10.906025702991318
Netherlands,2009,80.5,17.1,13.0,56333.0,0.932,10.939035788059831
Netherlands,2010,80.7,17.2,13.0,58232.1,0.936,10.972192028065475
Netherlands,2011,81.2,17.4,13.2,60224.2,0.943,11.005829543874713
Netherlands,2012,81.4,17.4,13.2,62249.0,0.946,11.038897749940894
Netherlands,2013,81.4,17.3,13.2,64322.3,0.946,11.071661661919988
Netherlands,2014,81.8,17.3,13.2,66508.6,0.952,11.105086541590678
Netherlands,2015,82.2,17.6,13.3,68771.4,0.958,11.138543239820786
Netherlands,2016,82.2,17.5,13.3,71069.5,0.959,11.171413550478901
Netherlands,2017,82.6,17.7,13.4,73489.7,0.966,11.204900539326532
Netherlands,2018,82.9,17.7,13.5,75000.0,0.969,11.225243392518447
Netherlands,2019,83.0,17.7,13.5,75000.0,0.97,11.225243392518447
Netherlands,2020,83.3,17.3,13.5,75000.0,0.973,11.225243392518447
Netherlands,2021,83.4,17.8,13.5,75000.0,0.973,11.225243392518447
Netherlands,2022,84.0,17.3,13.7,75000.0,0.98,11.225243392518447
Norway,2003,82.4,15.1,11.2,36721.2,0.879,10.511109523939018
Norway,2004,82.5,15.1,11.3,37963.5,0.882,10.54438045079172
Norway,2005,82.7,15.1,11.3,39256.2,0.886,10.577864672519345
Norway,2006,83.0,15.2,11.4,40599.6,0.891,10.611513493324543
Norway,2007,83.1,15.2,11.4,41964.6,0.892,10.64458168471885
Norway,2008,83.3,15.3,11.4,43393.9,0.896,10.678074157214606
Norway,2009,83.6,15.4,11.5,44878.3,0.901,10.71170966069128
Norway,2010,83.9,15.5,11.6,46411.2,0.906,10.745296088397392
Norway,2011,84.1,15.5,11.7,47996.2,0.91,10.778877120089515
Norway,2012,84.5,15.7,11.7,49641.4,0.916,10.812580441982892
Norway,2013,84.6,15.7,11.7,51324.4,0.919,10.845921551609354
Norway,2014,84.8,15.7,11.8,53060.9,0.921,10.879195589477769
Norway,2015,85.0,15.8,11.8,54868.5,0.925,10.912694692336538
Norway,2016,85.0,15.8,11.8,56726.2,0.927,10.945991464117983
Norway,2017,85.0,15.9,11.9,58667.3,0.931,10.979637780748455
Norway,2018,85.0,15.9,11.9,60661.5,0.934,11.013064508928927
Norway,2019,85.0,16.0,12.0,62732.5,0.937,11.046634933636376
Norway,2020,85.0,16.0,12.0,64856.1,0.939,11.079926248543744
Norway,2021,85.0,16.2,12.1,67077.4,0.943,11.113602455496046
Norway,2022,85.0,16.3,12.2,69370.6,0.947,11.147218425613962
Oman,2003,82.8,15.1,11.6,60664.5,0.91,11.013113962467338
Oman,2004,83.2,15.2,11.6,61922.7,0.915,11.033642111964117
Oman,2005,83.4,15.3,11.7,63192.3,0.917,11.05393773726937
Oman,2006,83.7,15.3,11.7,64489.2,0.92,11.074253046903445
Oman,2007,84.2,15.4,11.8,65839.2,0.927,11.094970684608844
Oman,2008,84.3,15.4,11.8,67175.7,0.928,11.115066853972756
Oman,2009,84.5,15.4,11.8,68550.3,0.93,11.1353230613485
Oman,2010,85.0,15.6,11.9,69984.8,0.936,11.15603335459543
Oman,2011,85.0,15.6,11.9,71418.8,0.938,11.176316418991043
Oman,2012,85.0,15.7,12.0,72895.2,0.94,11.196778072207564
Oman,2013,85.0,15.6,12.0,72157.0,0.941,11.186599579592892
Oman,2014,85.0,15.7,12.0,75000.0,0.943,11.225243392518447
Oman,2015,85.0,15.7,12.0,75000.0,0.942,11.225243392518447
Oman,2016,85.0,15.8,12.1,75000.0,0.945,11.225243392518447
Oman,2017,85.0,15.8,12.1,75000.0,0.945,11.225243392518447
Oman,2018,85.0,15.8,12.2,75000.0,0.945,11.225243392518447
Oman,2019,85.0,16.0,12.3,75000.0,0.948,11.225243392518447
Oman,2020,85.0,15.6,12.2,72157.0,0.947,11.186599579592892
Oman,2021,85.0,16.0,12.3,75000.0,0.948,11.225243392518447
Oman,2022,85.0,16.1,12.4,75000.0,0.951,11.225243392518447
Portugal,2003,81.8,16.0,11.3,62047.4,0.911,11.035653888062669
Portugal,2004,82.4,16.3,12.25,64286.0,0.921,11.071097157125758
Portugal,2005,82.6,16.4,11.6,66565.1,0.926,11.105935695155884
Portugal,2006,82.7,16.4,11.6,68915.4,0.929,11.14063494436331
Portugal,2007,82.9,17.3,11.7,71354.0,0.933,11.17540868300142
Portugal,2008,83.5,16.7,11.8,75000.0,0.943,11.225243392518447
Portugal,2009,83.6,16.8,11.9,75000.0,0.945,11.225243392518447
Portugal,2010,84.0,17.0,12.0,75000.0,0.951,11.225243392518447
Portugal,2011,84.0,17.0,12.1,75000.0,0.951,11.225243392518447
Portugal,2012,84.4,17.1,12.2,75000.0,0.956,11.225243392518447
Portugal,2013,84.8,17.3,12.3,75000.0,0.961,11.225243392518447
Portugal,2014,85.0,17.4,12.25,75000.0,0.964,11.225243392518447
Portugal,2015,85.0,17.5,12.5,75000.0,0.966,11.225243392518447
Portugal,2016,85.0,17.7,12.6,75000.0,0.97,11.225243392518447
Portugal,2017,85.0,17.7,12.7,75000.0,0.971,11.225243392518447
Portugal,2018,85.0,17.9,12.8,75000.0,0.974,11.225243392518447
Portugal,2019,85.0,18.0,12.9,75000.0,0.976,11.225243392518447
Portugal,2020,85.0,18.0,13.0,75000.0,0.977,11.225243392518447
Portugal,2021,85.0,18.0,13.1,75000.0,0.979,11.225243392518447
Portugal,2022,85.0,18.0,13.2,75000.0,0.979,11.225243392518447
Qatar,2003,80.7,15.1,11.2,54163.6,0.89,10.899764375096492
Qatar,2004,81.1,15.2,11.3,55690.4,0.896,10.927563059175984
Qatar,2005,81.3,15.3,11.4,57248.6,0.9,10.955158466969007
Qatar,2006,81.5,15.4,11.5,58843.1,0.904,10.982629858575685
Qatar,2007,81.6,15.4,11.5,60479.2,0.907,11.010054783252702
Qatar,2008,82.0,15.6,11.6,62180.9,0.912,11.037803157615427
Qatar,2009,82.4,15.8,11.8,63940.1,0.919,11.065701986578828
Qatar,2010,82.6,15.8,11.8,65724.4,0.923,11.093225520610046
Qatar,2011,82.7,15.9,11.9,67551.8,0.926,11.120649989961523
Qatar,2012,83.0,16.0,12.0,69444.8,0.931,11.148287471369212
Qatar,2013,83.1,16.0,12.0,71376.0,0.934,11.175716957368046
Qatar,2014,83.7,16.3,12.2,73407.3,0.942,11.203778664698154
Qatar,2015,83.9,16.3,12.2,69444.8,0.946,11.148287471369212
Qatar,2016,84.0,16.4,12.3,75000.0,0.948,11.225243392518447
Qatar,2017,84.3,16.5,12.4,75000.0,0.952,11.225243392518447
Qatar,2018,84.3,16.5,12.4,75000.0,0.952,11.225243392518447
Qatar,2019,84.7,16.7,12.5,75000.0,0.957,11.225243392518447
Qatar,2020,85.0,16.9,12.6,75000.0,0.962,11.225243392518447
Qatar,2021,85.0,17.0,12.7,75000.0,0.964,11.225243392518447
Qatar,2022,85.0,17.0,12.8,75000.0,0.965,11.225243392518447
Sweden,2003,82.5,14.3,12.8,48219.2,0.905,10.78351256097124
Sweden,2004,82.9,15.9,13.0,49274.0,0.912,10.80515183754812
Sweden,2005,83.0,14.7,13.1,50319.1,0.915,10.826140005681783
Sweden,2006,83.3,14.9,13.2,51418.8,0.923,10.847759143324692
Sweden,2007,83.5,15.1,13.3,52518.8,0.927,10.868926479717013
Sweden,2008,83.6,15.1,13.4,53632.5,0.93,10.889910506590661
Sweden,2009,83.8,15.3,13.6,54787.7,0.936,10.911220995188117
Sweden,2010,83.9,15.4,13.7,55957.9,0.94,10.93235490127041
Sweden,2011,84.5,15.6,13.8,57168.8,0.946,10.953763574007988
Sweden,2012,84.5,15.8,13.9,58405.6,0.952,10.975167054630086
Sweden,2013,84.5,15.9,14.0,59639.1,0.955,10.996066678221553
Sweden,2014,84.9,16.1,14.2,60933.8,0.961,11.017543307948076
Sweden,2015,84.9,16.2,14.3,62230.8,0.965,11.038605333016546
Sweden,2016,85.0,16.3,14.4,63563.5,0.969,11.059794685213866
Sweden,2017,85.0,16.5,14.5,58405.6,0.973,10.975167054630086
Sweden,2018,85.0,16.6,14.6,66318.3,0.976,11.102221156187515
Sweden,2019,85.0,16.8,14.7,67746.3,0.98,11.123525124704502
Sweden,2020,85.0,16.9,14.8,69193.6,0.984,11.144663651779576
Sweden,2021,85.0,17.2,15.0,70710.1,0.99,11.166343698824411
Sweden,2022,85.0,17.3,15.0,72207.5,0.991,11.187299197602304
Switzerland,2003,77.3,16.4,12.3,34706.6,0.877,10.454685149578001
Switzerland,2004,77.5,16.4,12.3,35970.1,0.88,10.490443316780329
Switzerland,2005,77.7,16.5,12.3,37294.3,0.884,10.526595778941099
Switzerland,2006,78.1,16.6,12.4,38681.6,0.89,10.563119313758257
Switzerland,2007,78.3,16.6,12.4,40095.2,0.892,10.599011905381824
Switzerland,2008,78.5,16.6,12.4,41565.6,0.896,10.635028181082943
Switzerland,2009,79.2,16.9,12.6,43133.4,0.905,10.672052917974687
Switzerland,2010,79.2,16.8,12.6,44694.6,0.906,10.707607967934976
Switzerland,2011,79.4,16.8,12.6,46338.1,0.909,10.743719795851014
Switzerland,2012,79.6,16.8,12.6,48029.8,0.912,10.779576930586074
Switzerland,2013,80.2,17.0,12.7,49830.4,0.92,10.816380518536027
Switzerland,2014,80.3,17.0,12.7,51647.4,0.922,10.85219513446177
Switzerland,2015,80.6,17.1,12.8,53560.6,0.927,10.888569002132206
Switzerland,2016,81.0,17.2,12.9,55543.2,0.933,10.924916375333561
Switzerland,2017,81.1,17.1,12.9,57569.6,0.935,10.96074992958249
Switzerland,2018,81.5,17.2,12.9,59701.3,0.94,10.997109074687998
Switzerland,2019,81.9,17.4,13.0,61915.1,0.946,11.033519370765394
Switzerland,2020,81.8,17.2,13.0,64155.6,0.946,11.069066661635164
